,Biomodel name,coverage,automatic annotation,ontology for automatic annotation,manual annotation,ontology for manual annotation
739,BIOMD0000000802,0.7777777777777778,"['Immune System', 'Tumor Cell Seeding', 'Antibody-Dependent Cellular Cytotoxicity', 'Complex', 'Cancer Cell Growth', 'Antibody', 'ADCC Assay', 'Mathematical Model', 'Binding', 'ADCC Assay', 'In Vitro', 'somatostatinoma', 'Approximate', 'ovarian granulosa tumour']","['http://purl.obolibrary.org/obo/NCIT_C12735', 'http://purl.obolibrary.org/obo/NCIT_C172041', 'http://purl.obolibrary.org/obo/NCIT_C16298', 'http://purl.obolibrary.org/obo/NCIT_C19398', 'http://purl.obolibrary.org/obo/NCIT_C19387', 'http://purl.obolibrary.org/obo/NCIT_C16295', 'http://purl.obolibrary.org/obo/NCIT_C15414', 'http://purl.obolibrary.org/obo/NCIT_C16870', 'http://purl.obolibrary.org/obo/NCIT_C82888', 'http://purl.obolibrary.org/obo/NCIT_C15414', 'http://purl.obolibrary.org/obo/NCIT_C15263', 'http://www.ebi.ac.uk/efo/EFO_1001187', 'http://purl.obolibrary.org/obo/NCIT_C45828', 'http://www.ebi.ac.uk/efo/EFO_0006461']","[' Ordinary differential equation model,  Homo sapiens,  antibody-dependent cellular cytotoxicity']","[' MAMO_0000046,  9606,  GO:0001788']"
767,BIOMD0000000830,0.75,"['Alignment', 'Apical', 'Exocytosis', 'High Shear Granulation', 'Findings-Based Question', 'Cell morphology', 'Differential Display', 'Phenotype', 'Cell Surface', 'Static', 'Endothelium', 'Atherosclerotic Plaque', 'Kinetics', 'Endothelial Cell', 'Glycocalyx', 'exocytic vesicle membrane', 'Resolved License', 'heparan sulfate']","['http://purl.obolibrary.org/obo/NCIT_C49033', 'http://purl.obolibrary.org/obo/NCIT_C25423', 'http://purl.obolibrary.org/obo/NCIT_C16568', 'http://purl.obolibrary.org/obo/NCIT_C113011', 'http://purl.obolibrary.org/obo/NCIT_C91103', 'http://purl.obolibrary.org/obo/FMA_70631', 'http://purl.obolibrary.org/obo/NCIT_C18483', 'http://purl.obolibrary.org/obo/NCIT_C16977', 'http://purl.obolibrary.org/obo/NCIT_C33974', 'http://purl.obolibrary.org/obo/NCIT_C69299', 'http://purl.obolibrary.org/obo/NCIT_C12481', 'http://purl.obolibrary.org/obo/NCIT_C78739', 'http://purl.obolibrary.org/obo/NCIT_C16770', 'http://purl.obolibrary.org/obo/NCIT_C12865', 'http://purl.obolibrary.org/obo/NCIT_C32689', 'http://purl.obolibrary.org/obo/GO_0099501', 'http://purl.obolibrary.org/obo/NCIT_C118471', 'http://purl.obolibrary.org/obo/CHEBI_28815']","[' Ordinary differential equation model,  Homo sapiens,  Heparan Sulfate']","[' MAMO_0000046,  9606,  C540']"
432,BIOMD0000000444,0.75,"['positive feedback loop', 'Induced Cataract', 'Module', 'Parametric Image', 'Amplitude', 'Analytical Procedure Robustness', 'Augmentation of Labor', 'MAPK cascade', 'Induction']","['http://identifiers.org/teddy/TEDDY_0000035', 'http://purl.obolibrary.org/obo/NCIT_C50614', 'http://purl.obolibrary.org/obo/NCIT_C42721', 'http://purl.obolibrary.org/obo/NCIT_C94946', 'http://purl.obolibrary.org/obo/NCIT_C70831', 'http://purl.obolibrary.org/obo/NCIT_C134245', 'http://purl.obolibrary.org/obo/NCIT_C114132', 'http://purl.obolibrary.org/obo/GO_0000165', 'http://purl.obolibrary.org/obo/NCIT_C61367']","[' cellular organisms,  MAPK cascade']","[' 131567,  GO:0000165']"
836,BIOMD0000000911,0.75,"['Relevance', 'neutral stability', 'Cancer Treatment Trial', 'Tumor-Infiltrating Immune Cell', 'Analytical Procedure Robustness', 'Optimal Debulking', 'Tumor Tissue', 'Convergence', 'Mandatory Report', 'Population Scope Code', 'Domain', 'Methodology']","['http://purl.obolibrary.org/obo/NCIT_C70664', 'http://identifiers.org/teddy/TEDDY_0000098', 'http://purl.obolibrary.org/obo/NCIT_C16096', 'http://purl.obolibrary.org/obo/NCIT_C153548', 'http://purl.obolibrary.org/obo/NCIT_C134245', 'http://purl.obolibrary.org/obo/NCIT_C128096', 'http://purl.obolibrary.org/obo/NCIT_C18009', 'http://purl.obolibrary.org/obo/NCIT_C75946', 'http://purl.obolibrary.org/obo/NCIT_C68597', 'http://purl.obolibrary.org/obo/NCIT_C95343', 'http://purl.obolibrary.org/obo/NCIT_C62289', 'http://purl.obolibrary.org/obo/NCIT_C86572']","[' Ordinary differential equation model,  Homo sapiens,  Tumor Model']","[' MAMO_0000046,  9606,  C48686']"
741,BIOMD0000000804,0.75,"['multiple myeloma', 'Participating Organization', 'inhibited', 'Interactive Kiosk', 'Computer Modeling', 'myeloma cell', 'Mathematics', 'Population Scope Code', 'Cell Growth', 'somatostatinoma', 'Effectiveness']","['http://www.ebi.ac.uk/efo/EFO_0001378', 'http://purl.obolibrary.org/obo/NCIT_C63411', 'http://biomodels.net/SBO/SBO_0000642', 'http://purl.obolibrary.org/obo/NCIT_C19749', 'http://purl.obolibrary.org/obo/NCIT_C16461', 'http://purl.obolibrary.org/obo/BTO_0000898', 'http://purl.obolibrary.org/obo/NCIT_C16825', 'http://purl.obolibrary.org/obo/NCIT_C95343', 'http://purl.obolibrary.org/obo/NCIT_C16402', 'http://www.ebi.ac.uk/efo/EFO_1001187', 'http://purl.obolibrary.org/obo/NCIT_C142522']","[' Ordinary differential equation model,  Homo sapiens,  multiple myeloma']","[' MAMO_0000046,  9606,  0001378']"
418,BIOMD0000000430,0.75,"['Phosphatase', 'Reciprocal', 'Sequential', 'Output', 'feedback loop', 'Analytical Procedure Robustness', 'Identical', 'MAPK cascade', 'Computer Modeling', 'Substrate', 'Experimental Method', 'Duration']","['http://purl.obolibrary.org/obo/NCIT_C16981', 'http://purl.obolibrary.org/obo/NCIT_C62766', 'http://purl.obolibrary.org/obo/NCIT_C49153', 'http://purl.obolibrary.org/obo/NCIT_C47906', 'http://identifiers.org/teddy/TEDDY_0000033', 'http://purl.obolibrary.org/obo/NCIT_C134245', 'http://purl.obolibrary.org/obo/NCIT_C49034', 'http://purl.obolibrary.org/obo/GO_0000165', 'http://purl.obolibrary.org/obo/NCIT_C16461', 'http://purl.obolibrary.org/obo/NCIT_C120264', 'http://purl.obolibrary.org/obo/NCIT_C43622', 'http://purl.obolibrary.org/obo/NCIT_C25330']","[' cellular organisms,  MAPK cascade']","[' 131567,  GO:0000165']"
419,BIOMD0000000431,0.75,"['Phosphatase', 'Reciprocal', 'Sequential', 'Output', 'feedback loop', 'Analytical Procedure Robustness', 'Identical', 'MAPK cascade', 'Computer Modeling', 'Substrate', 'Experimental Method', 'Duration']","['http://purl.obolibrary.org/obo/NCIT_C16981', 'http://purl.obolibrary.org/obo/NCIT_C62766', 'http://purl.obolibrary.org/obo/NCIT_C49153', 'http://purl.obolibrary.org/obo/NCIT_C47906', 'http://identifiers.org/teddy/TEDDY_0000033', 'http://purl.obolibrary.org/obo/NCIT_C134245', 'http://purl.obolibrary.org/obo/NCIT_C49034', 'http://purl.obolibrary.org/obo/GO_0000165', 'http://purl.obolibrary.org/obo/NCIT_C16461', 'http://purl.obolibrary.org/obo/NCIT_C120264', 'http://purl.obolibrary.org/obo/NCIT_C43622', 'http://purl.obolibrary.org/obo/NCIT_C25330']","[' cellular organisms,  MAPK cascade']","[' 131567,  GO:0000165']"
420,BIOMD0000000432,0.75,"['Phosphatase', 'Reciprocal', 'Sequential', 'Output', 'feedback loop', 'Analytical Procedure Robustness', 'Identical', 'MAPK cascade', 'Computer Modeling', 'Substrate', 'Experimental Method', 'Duration']","['http://purl.obolibrary.org/obo/NCIT_C16981', 'http://purl.obolibrary.org/obo/NCIT_C62766', 'http://purl.obolibrary.org/obo/NCIT_C49153', 'http://purl.obolibrary.org/obo/NCIT_C47906', 'http://identifiers.org/teddy/TEDDY_0000033', 'http://purl.obolibrary.org/obo/NCIT_C134245', 'http://purl.obolibrary.org/obo/NCIT_C49034', 'http://purl.obolibrary.org/obo/GO_0000165', 'http://purl.obolibrary.org/obo/NCIT_C16461', 'http://purl.obolibrary.org/obo/NCIT_C120264', 'http://purl.obolibrary.org/obo/NCIT_C43622', 'http://purl.obolibrary.org/obo/NCIT_C25330']","[' cellular organisms,  MAPK cascade']","[' 131567,  GO:0000165']"
421,BIOMD0000000433,0.75,"['Phosphatase', 'Reciprocal', 'Sequential', 'Output', 'feedback loop', 'Analytical Procedure Robustness', 'Identical', 'MAPK cascade', 'Computer Modeling', 'Substrate', 'Experimental Method', 'Duration']","['http://purl.obolibrary.org/obo/NCIT_C16981', 'http://purl.obolibrary.org/obo/NCIT_C62766', 'http://purl.obolibrary.org/obo/NCIT_C49153', 'http://purl.obolibrary.org/obo/NCIT_C47906', 'http://identifiers.org/teddy/TEDDY_0000033', 'http://purl.obolibrary.org/obo/NCIT_C134245', 'http://purl.obolibrary.org/obo/NCIT_C49034', 'http://purl.obolibrary.org/obo/GO_0000165', 'http://purl.obolibrary.org/obo/NCIT_C16461', 'http://purl.obolibrary.org/obo/NCIT_C120264', 'http://purl.obolibrary.org/obo/NCIT_C43622', 'http://purl.obolibrary.org/obo/NCIT_C25330']","[' cellular organisms,  MAPK cascade']","[' 131567,  GO:0000165']"
428,BIOMD0000000440,0.75,"['positive feedback loop', 'Induced Cataract', 'Module', 'Parametric Image', 'Amplitude', 'Analytical Procedure Robustness', 'Augmentation of Labor', 'MAPK cascade', 'Induction']","['http://identifiers.org/teddy/TEDDY_0000035', 'http://purl.obolibrary.org/obo/NCIT_C50614', 'http://purl.obolibrary.org/obo/NCIT_C42721', 'http://purl.obolibrary.org/obo/NCIT_C94946', 'http://purl.obolibrary.org/obo/NCIT_C70831', 'http://purl.obolibrary.org/obo/NCIT_C134245', 'http://purl.obolibrary.org/obo/NCIT_C114132', 'http://purl.obolibrary.org/obo/GO_0000165', 'http://purl.obolibrary.org/obo/NCIT_C61367']","[' cellular organisms,  MAPK cascade']","[' 131567,  GO:0000165']"
769,BIOMD0000000832,0.75,"['Role', 'Activate', 'hippo signaling', 'Proliferation', 'Axis', 'Pathway', 'Regulator', 'Cancer Pathway', 'Dose-dependent', 'ERK Inhibitor', 'Coordinate', 'Cellularity Measurement']","['http://purl.obolibrary.org/obo/NCIT_C48835', 'http://purl.obolibrary.org/obo/NCIT_C28002', 'http://purl.obolibrary.org/obo/GO_0035329', 'http://purl.obolibrary.org/obo/NCIT_C28378', 'http://purl.obolibrary.org/obo/NCIT_C25154', 'http://purl.obolibrary.org/obo/NCIT_C54214', 'http://purl.obolibrary.org/obo/NCIT_C48806', 'http://purl.obolibrary.org/obo/NCIT_C91436', 'http://purl.obolibrary.org/obo/NCIT_C28029', 'http://purl.obolibrary.org/obo/NCIT_C174048', 'http://purl.obolibrary.org/obo/NCIT_C44465', 'http://purl.obolibrary.org/obo/NCIT_C111153']","[' Ordinary differential equation model,  Homo sapiens,  hippo signaling']","[' MAMO_0000046,  9606,  GO:0035329']"
430,BIOMD0000000442,0.75,"['positive feedback loop', 'Induced Cataract', 'Module', 'Parametric Image', 'Amplitude', 'Analytical Procedure Robustness', 'Augmentation of Labor', 'MAPK cascade', 'Induction']","['http://identifiers.org/teddy/TEDDY_0000035', 'http://purl.obolibrary.org/obo/NCIT_C50614', 'http://purl.obolibrary.org/obo/NCIT_C42721', 'http://purl.obolibrary.org/obo/NCIT_C94946', 'http://purl.obolibrary.org/obo/NCIT_C70831', 'http://purl.obolibrary.org/obo/NCIT_C134245', 'http://purl.obolibrary.org/obo/NCIT_C114132', 'http://purl.obolibrary.org/obo/GO_0000165', 'http://purl.obolibrary.org/obo/NCIT_C61367']","[' cellular organisms,  MAPK cascade']","[' 131567,  GO:0000165']"
431,BIOMD0000000443,0.75,"['positive feedback loop', 'Induced Cataract', 'Module', 'Parametric Image', 'Amplitude', 'Analytical Procedure Robustness', 'Augmentation of Labor', 'MAPK cascade', 'Induction']","['http://identifiers.org/teddy/TEDDY_0000035', 'http://purl.obolibrary.org/obo/NCIT_C50614', 'http://purl.obolibrary.org/obo/NCIT_C42721', 'http://purl.obolibrary.org/obo/NCIT_C94946', 'http://purl.obolibrary.org/obo/NCIT_C70831', 'http://purl.obolibrary.org/obo/NCIT_C134245', 'http://purl.obolibrary.org/obo/NCIT_C114132', 'http://purl.obolibrary.org/obo/GO_0000165', 'http://purl.obolibrary.org/obo/NCIT_C61367']","[' cellular organisms,  MAPK cascade']","[' 131567,  GO:0000165']"
429,BIOMD0000000441,0.75,"['positive feedback loop', 'Induced Cataract', 'Module', 'Parametric Image', 'Amplitude', 'Analytical Procedure Robustness', 'Augmentation of Labor', 'MAPK cascade', 'Induction']","['http://identifiers.org/teddy/TEDDY_0000035', 'http://purl.obolibrary.org/obo/NCIT_C50614', 'http://purl.obolibrary.org/obo/NCIT_C42721', 'http://purl.obolibrary.org/obo/NCIT_C94946', 'http://purl.obolibrary.org/obo/NCIT_C70831', 'http://purl.obolibrary.org/obo/NCIT_C134245', 'http://purl.obolibrary.org/obo/NCIT_C114132', 'http://purl.obolibrary.org/obo/GO_0000165', 'http://purl.obolibrary.org/obo/NCIT_C61367']","[' cellular organisms,  MAPK cascade']","[' 131567,  GO:0000165']"
824,BIOMD0000000890,0.75,"['Cell', 'Cholesterol Homeostasis', 'Cholesterol Synthesis Inhibition', 'Findings-Based Question', 'Cellular Membrane', 'Hepatocyte', 'sterol', 'Genetic Transcription Indicator', 'oscillatory muscle contraction', 'Integrity', 'cardiovascular disease', 'Mathematical Model', 'Steady-State', 'Risk Factor', 'Regulator', 'Cholesterol Synthesis Inhibition', 'Transcription']","['http://purl.obolibrary.org/obo/NCIT_C48694', 'http://purl.obolibrary.org/obo/NCIT_C29885', 'http://purl.obolibrary.org/obo/NCIT_C40646', 'http://purl.obolibrary.org/obo/NCIT_C91103', 'http://purl.obolibrary.org/obo/NCIT_C14070', 'http://purl.obolibrary.org/obo/NCIT_C12588', 'http://purl.obolibrary.org/obo/CHEBI_15889', 'http://purl.obolibrary.org/obo/NCIT_C181338', 'http://purl.obolibrary.org/obo/GO_0014703', 'http://purl.obolibrary.org/obo/NCIT_C62446', 'http://www.ebi.ac.uk/efo/EFO_0000319', 'http://purl.obolibrary.org/obo/NCIT_C16870', 'http://purl.obolibrary.org/obo/NCIT_C151966', 'http://purl.obolibrary.org/obo/NCIT_C17103', 'http://purl.obolibrary.org/obo/NCIT_C48806', 'http://purl.obolibrary.org/obo/NCIT_C40646', 'http://purl.obolibrary.org/obo/NCIT_C17208']","[' Ordinary differential equation model,  Homo sapiens,  Transcription Factor']","[' MAMO_0000046,  9606,  C17207']"
567,BIOMD0000000612,0.75,"['Ligand', 'circadian rhythm', 'Timing', 'CDISC Interventions Class', 'Parathyroid Hormone', 'Aging', 'Bone Remodeling', 'Molecular', 'Computer Modeling', 'Intermittent', 'Bone Formation Inhibition', 'Physical Activity', 'Bone Remodeling', 'Stimulus', 'Effectiveness']","['http://purl.obolibrary.org/obo/NCIT_C95009', 'http://www.ebi.ac.uk/efo/EFO_0004354', 'http://purl.obolibrary.org/obo/NCIT_C80484', 'http://purl.obolibrary.org/obo/NCIT_C103374', 'http://purl.obolibrary.org/obo/NCIT_C41027', 'http://purl.obolibrary.org/obo/NCIT_C16269', 'http://purl.obolibrary.org/obo/NCIT_C3475', 'http://purl.obolibrary.org/obo/NCIT_C25574', 'http://purl.obolibrary.org/obo/NCIT_C16461', 'http://purl.obolibrary.org/obo/NCIT_C71325', 'http://purl.obolibrary.org/obo/NCIT_C40917', 'http://purl.obolibrary.org/obo/NCIT_C17708', 'http://purl.obolibrary.org/obo/NCIT_C3475', 'http://purl.obolibrary.org/obo/NCIT_C41210', 'http://purl.obolibrary.org/obo/NCIT_C142522']","[' bone remodeling,  Homo sapiens']","[' GO:0046849,  9606']"
853,BIOMD0000000928,0.75,"['Inflammation', 'Cytokine', 'Fibronectin', 'Cartilage', 'Progression in GvHD', 'Disposition', 'Oat Cell', 'Degradation', 'Inflammatory Response Pathway', 'Excessive', 'Osteoarthritis', 'Persistent', 'Manipulation', 'Initiation']","['http://purl.obolibrary.org/obo/NCIT_C3137', 'http://purl.obolibrary.org/obo/NCIT_C20464', 'http://purl.obolibrary.org/obo/CHEBI_5058', 'http://purl.obolibrary.org/obo/NCIT_C12373', 'http://purl.obolibrary.org/obo/NCIT_C126724', 'http://purl.obolibrary.org/obo/NCIT_C41205', 'http://purl.obolibrary.org/obo/NCIT_C36762', 'http://purl.obolibrary.org/obo/NCIT_C61559', 'http://purl.obolibrary.org/obo/NCIT_C39129', 'http://purl.obolibrary.org/obo/NCIT_C73992', 'http://purl.obolibrary.org/obo/NCIT_C3293', 'http://purl.obolibrary.org/obo/NCIT_C43623', 'http://purl.obolibrary.org/obo/NCIT_C48310', 'http://purl.obolibrary.org/obo/NCIT_C47938']","[' Ordinary differential equation model,  Inflammatory Response Pathway,  Osteoarthritis']","[' MAMO_0000046,  C39129,  C3293']"
779,BIOMD0000000844,0.75,"['In Vivo', 'Cell', 'Pharmacokinetic Parameters Domain', 'bursting', 'Olfactory Bulb', 'Glomerulus', 'Substrate', 'Interval', 'Input', 'Duration']","['http://purl.obolibrary.org/obo/NCIT_C15744', 'http://purl.obolibrary.org/obo/NCIT_C48694', 'http://purl.obolibrary.org/obo/NCIT_C49607', 'http://identifiers.org/teddy/TEDDY_0000055', 'http://purl.obolibrary.org/obo/NCIT_C28401', 'http://purl.obolibrary.org/obo/NCIT_C13250', 'http://purl.obolibrary.org/obo/NCIT_C120264', 'http://purl.obolibrary.org/obo/NCIT_C25543', 'http://purl.obolibrary.org/obo/NCIT_C47905', 'http://purl.obolibrary.org/obo/NCIT_C25330']","[' Ordinary differential equation model,  olfactory bulb tufted cell']","[' MAMO_0000046,  CL:1001503']"
571,BIOMD0000000616,0.75,"['Inflammation', 'Pharmacokinetic Parameters Domain', 'Apoptosis', 'Neutrophil', 'Targeting', 'treatment protocol', 'Asthma', 'Mindset Intervention', ""Alzheimer's Disease"", 'Inflammatory Response', 'Arthritis', 'Population Scope Code']","['http://purl.obolibrary.org/obo/NCIT_C3137', 'http://purl.obolibrary.org/obo/NCIT_C49607', 'http://purl.obolibrary.org/obo/NCIT_C17557', 'http://purl.obolibrary.org/obo/NCIT_C12533', 'http://purl.obolibrary.org/obo/NCIT_C64542', 'http://www.ebi.ac.uk/efo/EFO_0003969', 'http://purl.obolibrary.org/obo/NCIT_C28397', 'http://purl.obolibrary.org/obo/NCIT_C168615', 'http://purl.obolibrary.org/obo/NCIT_C2866', 'http://purl.obolibrary.org/obo/NCIT_C20151', 'http://purl.obolibrary.org/obo/NCIT_C2883', 'http://purl.obolibrary.org/obo/NCIT_C95343']","[' Homo sapiens,  inflammatory response']","[' 9606,  GO:0006954']"
689,BIOMD0000000752,0.7272727272727273,"['Manifest', 'Immune System', 'Progression in GvHD', 'Tumor Cell Seeding', 'immune response', 'Recruitment', 'Computer Modeling', 'Cytotoxic']","['http://purl.obolibrary.org/obo/NCIT_C187058', 'http://purl.obolibrary.org/obo/NCIT_C12735', 'http://purl.obolibrary.org/obo/NCIT_C126724', 'http://purl.obolibrary.org/obo/NCIT_C172041', 'http://purl.obolibrary.org/obo/GO_0006955', 'http://purl.obolibrary.org/obo/NCIT_C78343', 'http://purl.obolibrary.org/obo/NCIT_C16461', 'http://purl.obolibrary.org/obo/NCIT_C37893']","[' immune response to tumor cell,  Ordinary differential equation model,  Homo sapiens']","[' GO:0002418,  MAMO_0000046,  9606']"
728,BIOMD0000000791,0.7272727272727273,"['Tumor Size', 'Immunotherapy', 'Inadequate', 'immune response', 'DNA Stability Analysis', 'Antineoplastic Vaccine', 'Antitumor', 'Mathematical Model', 'Inhibition', 'Vaccine', 'Cancer Screening', 'Capturing Problem']","['http://purl.obolibrary.org/obo/NCIT_C120284', 'http://purl.obolibrary.org/obo/NCIT_C15262', 'http://purl.obolibrary.org/obo/NCIT_C69177', 'http://purl.obolibrary.org/obo/GO_0006955', 'http://purl.obolibrary.org/obo/NCIT_C63329', 'http://purl.obolibrary.org/obo/NCIT_C1663', 'http://purl.obolibrary.org/obo/NCIT_C94320', 'http://purl.obolibrary.org/obo/NCIT_C16870', 'http://purl.obolibrary.org/obo/NCIT_C42791', 'http://purl.obolibrary.org/obo/NCIT_C923', 'http://purl.obolibrary.org/obo/NCIT_C15406', 'http://purl.obolibrary.org/obo/NCIT_C63027']","[' Homo sapiens,  Ordinary differential equation model,  immune response to tumor cell']","[' 9606,  MAMO_0000046,  GO:0002418']"
688,BIOMD0000000751,0.7272727272727273,"['Manifest', 'Immune System', 'Progression in GvHD', 'Tumor Cell Seeding', 'immune response', 'Recruitment', 'Computer Modeling', 'Cytotoxic']","['http://purl.obolibrary.org/obo/NCIT_C187058', 'http://purl.obolibrary.org/obo/NCIT_C12735', 'http://purl.obolibrary.org/obo/NCIT_C126724', 'http://purl.obolibrary.org/obo/NCIT_C172041', 'http://purl.obolibrary.org/obo/GO_0006955', 'http://purl.obolibrary.org/obo/NCIT_C78343', 'http://purl.obolibrary.org/obo/NCIT_C16461', 'http://purl.obolibrary.org/obo/NCIT_C37893']","[' immune response to tumor cell,  Ordinary differential equation model,  Homo sapiens']","[' GO:0002418,  MAMO_0000046,  9606']"
625,BIOMD0000000671,0.7142857142857143,"['Cancer Treatment Trial', 'Tumor Size', 'Progression in GvHD', 'Tumor Tissue', 'Odevixibat', 'Doubling Time', 'Computer Modeling', 'Chemotherapy']","['http://purl.obolibrary.org/obo/NCIT_C16096', 'http://purl.obolibrary.org/obo/NCIT_C120284', 'http://purl.obolibrary.org/obo/NCIT_C126724', 'http://purl.obolibrary.org/obo/NCIT_C18009', 'http://purl.obolibrary.org/obo/NCIT_C166598', 'http://purl.obolibrary.org/obo/NCIT_C94346', 'http://purl.obolibrary.org/obo/NCIT_C16461', 'http://purl.obolibrary.org/obo/NCIT_C15632']","[' Homo sapiens,  neoplasm,  Ordinary differential equation model']","[' 9606,  0000616,  MAMO_0000046']"
311,BIOMD0000000316,0.7142857142857143,"['Gene Expression', 'Recurrence', 'Escherichia coli', 'Temporal', 'Patterns of Care', 'Transcriptional Regulation', 'Sequence Analysis', 'Organism', 'Data Collection']","['http://purl.obolibrary.org/obo/NCIT_C16608', 'http://purl.obolibrary.org/obo/NCIT_C3352', 'http://purl.obolibrary.org/obo/NCIT_C14206', 'http://purl.obolibrary.org/obo/NCIT_C73990', 'http://purl.obolibrary.org/obo/NCIT_C19155', 'http://purl.obolibrary.org/obo/NCIT_C19077', 'http://purl.obolibrary.org/obo/NCIT_C17565', 'http://purl.obolibrary.org/obo/NCIT_C14250', 'http://purl.obolibrary.org/obo/NCIT_C103159']","[' Escherichia coli,  positive regulation of gene expression']","[' 562,  GO:0010628']"
